0.6947,0.4107,0.5402,0.8032,0.8445,0.8973,0.6936,,,,,108.50,106.99,104.79,102.25,99.60,97.00,94.53,92.22,90.08,88.10,86.26,84.57,83.00,81.55,80.19,78.92,77.74,76.62,75.57,74.59
0.702,0.4165,0.5469,0.8092,0.85,0.9017,0.7004,,,,,7.42,7.34,7.23,7.10,6.97,6.83,6.69,6.57,6.45,6.34,6.23,6.14,6.05,5.96,5.88,5.81,5.74,5.67,5.61,5.55
0.7089,0.4221,0.5532,0.8149,0.8551,0.9058,0.7068,,,,,5.85,5.79,5.71,5.61,5.50,5.39,5.29,5.19,5.10,5.02,4.94,4.86,4.79,4.72,4.66,4.60,4.55,4.50,4.45,4.40
0.7155,0.4275,0.5592,0.8202,0.8599,0.9096,0.7128,,,,,1.80,1.84,1.89,1.95,2.01,2.07,2.13,2.18,2.23,2.27,2.31,2.35,2.39,2.42,2.45,2.47,2.50,2.52,2.54,2.56
0.7216,0.4326,0.5649,0.8252,0.8643,0.9132,0.7185,,,,,30.63,31.65,33.15,34.95,36.88,38.85,40.77,42.62,44.38,46.04,47.61,49.08,50.47,51.78,53.01,54.17,55.27,56.32,57.30,58.24
0.7275,0.4376,0.5704,0.8298,0.8685,0.9164,0.7239,,,,,7.11,7.00,6.85,6.68,6.49,6.32,6.15,5.99,5.85,5.71,5.59,5.47,5.37,5.27,5.18,5.10,5.02,4.94,4.87,4.81
0.7331,0.4423,0.5756,0.8342,0.8724,0.9194,0.729,,,,,4.93,4.92,4.91,4.90,4.88,4.85,4.83,4.80,4.77,4.74,4.71,4.69,4.66,4.63,4.61,4.58,4.56,4.53,4.51,4.49
0.7384,0.4469,0.5806,0.8384,0.876,0.9223,0.7339,,,,,2.32,2.36,2.42,2.48,2.54,2.61,2.67,2.72,2.77,2.82,2.86,2.90,2.93,2.96,2.99,3.02,3.04,3.07,3.09,3.11
0.7435,0.4513,0.5854,0.8423,0.8795,0.9249,0.7385,,,,,1.04,1.10,1.20,1.32,1.46,1.60,1.76,1.91,2.06,2.21,2.35,2.50,2.63,2.77,2.90,3.02,3.14,3.26,3.37,3.48
0.7483,0.4555,0.59,0.846,0.8827,0.9273,0.7429,,,,,12.91,12.89,12.85,12.80,12.74,12.67,12.59,12.51,12.43,12.35,12.27,12.19,12.11,12.04,11.97,11.90,11.83,11.76,11.70,11.64
0.7529,0.4596,0.5944,0.8495,0.8858,0.9297,0.7471,,,,,,,,,,,,,,,,,,,,,,,,
0.7573,0.4636,0.5986,0.8528,0.8887,0.9318,0.7512,,,,,,,,,,,,,,,,,,,,,,,,
0.7615,0.4674,0.6027,0.8559,0.8914,0.9339,0.755,,,,,,,,,,,,,,,,,,,,,,,,
